panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table3_random_epsprec_0,140,NaN,16,16,1664,0.000600961538461538,2772225,0,0,impedance,random,20240528,96,0,9.81810437263479e-07,3.95571352254778e-07,422.9258436,0
table3_zero_epsprec_k,40,NaN,4,4,252,0.00396825396825397,64009,0,40,impedance,zero,20240528,28,0,8.65656388426045e-07,8.65656388426045e-07,2.7310946,0
table3_zero_epsprec_k,40,NaN,8,8,256,0.00390625,66049,0,40,impedance,zero,20240528,56,0,8.36353384475001e-07,8.36353384475001e-07,5.6690739,0
table3_zero_epsprec_k,40,NaN,16,16,256,0.00390625,66049,0,40,impedance,zero,20240528,100,1,7.80117953538482e-06,7.8011795353462e-06,12.1485041,0
table3_zero_epsprec_k,60,NaN,4,4,464,0.0021551724137931,216225,0,60,impedance,zero,20240528,28,0,8.15642343799369e-07,8.15642343799369e-07,9.6264034,0
table3_zero_epsprec_k,60,NaN,8,8,464,0.0021551724137931,216225,0,60,impedance,zero,20240528,51,0,7.9285173247333e-07,7.9285173247333e-07,16.1603381,0
table3_zero_epsprec_k,60,NaN,16,16,464,0.0021551724137931,216225,0,60,impedance,zero,20240528,100,1,4.46103411753755e-06,4.46103411811802e-06,32.6909439,0
table3_zero_epsprec_k,80,NaN,4,4,716,0.00139664804469274,514089,0,80,impedance,zero,20240528,28,0,7.09596691328603e-07,7.09596691328603e-07,26.6786868,0
table3_zero_epsprec_k,80,NaN,8,8,720,0.00138888888888889,519841,0,80,impedance,zero,20240528,50,0,9.49547545321395e-07,9.49547545321395e-07,39.2861785,0
table3_zero_epsprec_k,80,NaN,16,16,720,0.00138888888888889,519841,0,80,impedance,zero,20240528,100,1,2.12648190210126e-06,2.12648190237723e-06,76.8645198,0
table3_zero_epsprec_k,100,NaN,4,4,1000,0.001,1002001,0,100,impedance,zero,20240528,28,0,7.66525978088887e-07,7.66525978088887e-07,52.0420119,0
table3_zero_epsprec_k,100,NaN,8,8,1000,0.001,1002001,0,100,impedance,zero,20240528,51,0,7.41045485438013e-07,7.41045485438013e-07,80.1282268,0
table3_zero_epsprec_k,100,NaN,16,16,1008,0.000992063492063492,1018081,0,100,impedance,zero,20240528,97,0,8.88142581546439e-07,8.88142581546439e-07,147.4951735,0
table3_zero_epsprec_k,120,NaN,4,4,1316,0.000759878419452888,1734489,0,120,impedance,zero,20240528,28,0,7.30739296328328e-07,7.30739296328328e-07,96.8570851,0
table3_zero_epsprec_k,120,NaN,8,8,1312,0.00076219512195122,1723969,0,120,impedance,zero,20240528,49,0,9.04907187762299e-07,9.04907187762299e-07,144.2203659,0
table3_zero_epsprec_k,120,NaN,16,16,1312,0.00076219512195122,1723969,0,120,impedance,zero,20240528,95,0,9.10915881908709e-07,9.10915881908709e-07,250.5579281,0
table3_zero_epsprec_k,140,NaN,4,4,1656,0.000603864734299517,2745649,0,140,impedance,zero,20240528,28,0,6.37970797769392e-07,6.37970797769392e-07,160.0985188,0
table3_zero_epsprec_k,140,NaN,8,8,1656,0.000603864734299517,2745649,0,140,impedance,zero,20240528,49,0,9.04411180731939e-07,9.04411180731939e-07,254.2403733,0
table3_zero_epsprec_k,140,NaN,16,16,1664,0.000600961538461538,2772225,0,140,impedance,zero,20240528,96,0,9.50023381192222e-07,9.50023381192222e-07,423.528278,0
